title,company,location,experience,education,employment_type,salary,deadline,link
[KSTEC] RPA 개발자 경력사원 채용,지식시스템㈜ KSTEC Inc.,성남시,경력 3~10년,대졸,정규직,,07/31,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51170574&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
[EBSoft] 테스트자동화 / RPA 개발 및 운영담당자 모집,(주)이비소프트,금천구,신입,초대졸,정규직,,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51014862&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
[kt ds] 2025년 부문별 경력사원 상시채용,(주)케이티디에스,서초구,,학력무관,정규직,,07/21,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51238060&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
[대상정보기술] 각 부문별 신입·경력 채용,대상정보기술(주),광진구,신입,학력무관,정규직,,07/31,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51135965&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
다우기술 경력•신입 대규모 인재영입,(주)다우기술,성남시,신입,초대졸,정규직,,07/28,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51322506&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
교육플랫폼 CMS 기획· 운영,(주)비상교육,과천시,경력5년,대졸,정규직,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51124536&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
(주)삼광 AX/DX 기획 채용 (신입/경력),(주)삼광,경산시,경력무관,대졸,정규직,,07/20,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51210047&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
렉스젠(주) DX(Digital Transformation) Leader 채용,렉스젠(주),안양시,경력 5~15년,대졸,정규직,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51083841&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
아남전자(주) 시스템 및 전산업무 담당자 모집,아남전자(주),구로구,신입,초대졸,정규직,,07/28,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50902191&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
"[서울/경기] 수강료 0원 무료 취업교육생 과정모집(인공지능AI,빅데이터,풀스택,웹디자인,게임,메타버스)",엠비씨(MBC)아카데미 컴퓨터교육센터,종로구,신입,학력무관,,,08/12,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563552&location=ts&searchword=%25rpa&searchType=search&paid_fl=n&search_uuid=fbfe71b3-56df-4c80-bd8e-018baa9d1a14
